source_id,source_type,optical_detected,optical_n_obs,optical_mean_mag,optical_std_mag,optical_median_err,optical_snr,optical_trend,infrared_detected,infrared_std_w1,infrared_std_w2,correlation,amplitude_ratio,timescale_agreement,variability_type,quality_flag
YSO_MOCK_00000,NEOWISE,True,65,18.49854135314132,0.019468599377360393,0.061628828757302904,0.3159008498121652,"(np.float64(4.623578850482977e-06), np.float64(8.092608445933126e-06))",True,0.17411329183500718,0.26090225773010706,-0.8972476709533629,8.943288033215152,good,stable,low
YSO_MOCK_00001,NEOWISE,True,45,18.501220216971628,0.01650688440069363,0.058866215956115686,0.28041354676168395,"(np.float64(-3.0605838950033865e-06), np.float64(7.99890816149946e-06))",True,0.30177120288606446,0.2797760421153901,-0.8955645178084694,18.281536088868705,good,stable,low
YSO_MOCK_00002,NEOWISE,True,83,18.50037192607778,0.02096145394761362,0.055177866376677945,0.3798888091199084,"(np.float64(9.551312757526546e-06), np.float64(8.08252474400096e-06))",True,0.31359730123526647,0.11553803706208084,-0.1848259444223111,14.960665515808282,good,stable,low
YSO_MOCK_00003,NEOWISE,True,43,18.500620174758822,0.018974019429850546,0.056572334339043635,0.3353939633485399,"(np.float64(-8.858439128515633e-05), np.float64(1.3117948159827783e-05))",True,0.16392449938253953,0.1167670735266123,-0.9439029330326842,8.639418758296841,good,linear_trend,low
YSO_MOCK_00004,NEOWISE,True,44,18.501083656225845,0.02089058098565281,0.055958312023263734,0.37332400192786197,"(np.float64(2.4082480524094505e-05), np.float64(1.125641850950994e-05))",True,0.35140133118431804,0.275166538783975,-0.1350698696289229,16.821041570153206,good,linear_trend,low
YSO_MOCK_00005,NEOWISE,True,32,18.497267331460854,0.022069553276505498,0.055187550478605046,0.39990093934430665,"(np.float64(1.3769613731840744e-05), np.float64(1.5423265984460102e-05))",True,0.2635403265357646,0.06849679214806319,-0.8565974451312125,11.941353013987861,good,stable,low
YSO_MOCK_00006,NEOWISE,True,63,18.50348966100314,0.02126030941325059,0.04979409926785842,0.42696443405642454,"(np.float64(-2.1163819928283133e-05), np.float64(1.0093622432088374e-05))",True,0.3295920097648732,0.20104901305676573,0.5622740198390617,15.502691111327541,good,linear_trend,low
YSO_MOCK_00007,NEOWISE,True,68,18.505477805585517,0.25916221230754194,0.053362725224435525,4.856615010150718,"(np.float64(0.00046195023015920103), np.float64(0.00012100042281696663))",True,0.36440394036783585,0.19893506122242657,0.7505756976363958,1.4060843867755146,good,linear_trend,medium
YSO_MOCK_00008,NEOWISE,True,72,18.488684853169158,0.23823903665283422,0.059875151312135694,3.9789300140699124,"(np.float64(-7.293968263286323e-05), np.float64(0.0001006800407332846))",True,0.3962406802625793,0.07507422312713727,-0.7958197426816535,1.663206357067283,good,high_variable,medium
YSO_MOCK_00009,NEOWISE,True,51,18.520181907829034,0.305768712038542,0.05021482655273154,6.089211753374245,"(np.float64(0.0008292547439133838), np.float64(0.00014219858159381188))",True,0.2470561647872348,0.28440189308039515,-0.9370419750964606,0.8079837964457707,good,linear_trend,high
YSO_MOCK_00010,NEOWISE,True,57,18.504351820765585,0.13241293263557513,0.05351392510586197,2.474364053349368,"(np.float64(-8.745651016989049e-05), np.float64(6.570589020737106e-05))",True,0.15282812646367241,0.14829425277673589,-0.9038433069765063,1.1541782469563127,good,low_variable,medium
YSO_MOCK_00011,NEOWISE,True,21,18.41993041773437,0.19546464961554186,0.0531678320763845,3.6763705041560493,"(np.float64(0.0005025182322631942), np.float64(0.00023035042573333125))",True,0.22439269882114507,0.2431691292641288,-0.7830019431038157,1.1479963219052733,good,linear_trend,medium
YSO_MOCK_00012,NEOWISE,True,99,17.979715509036094,0.46664818617086884,0.052798546355726964,8.838277156853056,"(np.float64(-0.0029104232052924446), np.float64(0.00010444662960973298))",True,0.20275339389327807,0.11020684322571048,-0.7744376409463797,0.43448876455942653,good,linear_trend,high
YSO_MOCK_00013,NEOWISE,True,97,18.435133776330574,0.11536096732475602,0.054398520473439425,2.1206636930701466,"(np.float64(-0.00042171622549863125), np.float64(3.73459502428287e-05))",True,0.18515556057404708,0.2916939333643594,-0.16138603625339387,1.6050104716338782,good,linear_trend,medium
YSO_MOCK_00014,NEOWISE,True,71,18.39770906582468,0.38803679455453155,0.05468045819313256,7.096443727372898,"(np.float64(-0.0021267471767768852), np.float64(0.00013061270193147088))",True,0.13266986239788936,0.26588988000116554,-0.8263248714366601,0.34190021219558603,good,linear_trend,high
YSO_MOCK_00015,NEOWISE,True,73,18.608973941506143,0.1300039423618384,0.049546755792588666,2.623863869232075,"(np.float64(0.00012648713018436442), np.float64(5.663145642862645e-05))",True,0.1558242706425818,0.1370090098166471,-0.8459381120721086,1.1986118867755409,good,linear_trend,medium
YSO_MOCK_00016,NEOWISE,True,44,18.59953092603558,0.14443167983461755,0.057401644791674054,2.516159255693784,"(np.float64(0.0007182447032745944), np.float64(4.910407360067367e-05))",True,0.382416272953212,0.3021316589686746,-0.7630158926570478,2.6477312552973165,good,linear_trend,medium
YSO_MOCK_00017,NEOWISE,True,78,17.487800827605703,0.47011074630857663,0.05480978741953245,8.577131356306706,"(np.float64(-0.001270539683798993), np.float64(0.00017546495994801597))",True,0.2518562226259388,0.2818952474632151,0.35927010962378586,0.5357380672609058,good,linear_trend,high
YSO_MOCK_00018,NEOWISE,True,32,18.950765953165778,0.22156007665398592,0.06005926257997979,3.68902425931285,"(np.float64(0.0007764308364544818), np.float64(7.792632033960657e-05))",True,0.31011638515038353,0.18635874300453906,0.9032716522270129,1.3996943394937413,good,linear_trend,medium
